versao,recall_seguranca_macro,micro_f1,micro_prec,leak_total,leak_localizacao,pct_removido_localizacao
congelada_avaliacao,0.9856,0.4964,0.3381,36,28,0.9616
producao_corrigida_gps,0.9860,0.4970,0.3385,34,26,0.9643
