tipo,gold,tp,fn,fp,recall,precision,f1,accuracy,recall_seguranca
Nome(s),502,474,28,425,0.9442,0.5273,0.6767,0.5113,0.9940
Localizações (s),729,667,62,2007,0.9150,0.2494,0.3920,0.2438,0.9492
Documento(s),65,17,48,1,0.2615,0.9444,0.4096,0.2576,1.0000
Emplacamento (s),45,42,3,0,0.9333,1.0000,0.9655,0.9333,0.9333
Telefone (s),11,11,0,41,1.0000,0.2115,0.3492,0.2115,1.0000
Email (s) e contas (ex: instagram),1,1,0,4,1.0000,0.2000,0.3333,0.2000,1.0000
N° da VTR,5,5,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
Vulgo(s)/Apelido(s),1,0,1,0,0.0000,0.0000,0.0000,0.0000,1.0000
