tipo,gold,tp,fn,fp,recall,precision,f1,accuracy,recall_seguranca
Nome(s),502,473,29,149,0.9422,0.7605,0.8416,0.7266,0.9442
Localizações (s),729,631,98,259,0.8656,0.7090,0.7795,0.6387,0.9163
Documento(s),65,17,48,1,0.2615,0.9444,0.4096,0.2576,1.0000
Emplacamento (s),45,42,3,0,0.9333,1.0000,0.9655,0.9333,0.9333
Telefone (s),11,11,0,41,1.0000,0.2115,0.3492,0.2115,1.0000
Email (s) e contas (ex: instagram),1,1,0,4,1.0000,0.2000,0.3333,0.2000,1.0000
N° da VTR,5,5,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
Vulgo(s)/Apelido(s),1,1,0,5,1.0000,0.1667,0.2857,0.1667,1.0000
