tipo,fn_total,vazou_de_fato,removido_outro_tipo
Nome(s),82,81,1
Localizações (s),91,85,6
Documento(s),48,0,48
Emplacamento (s),3,3,0
Telefone (s),0,0,0
Email (s) e contas (ex: instagram),0,0,0
N° da VTR,0,0,0
Vulgo(s)/Apelido(s),1,1,0
