tipo,gold,tp,fn,fp,recall,precision,f1,accuracy,recall_seguranca
Nome(s),502,452,50,80,0.9004,0.8496,0.8743,0.7766,0.9044
Localizações (s),729,637,92,335,0.8738,0.6553,0.7490,0.5987,0.9218
Documento(s),65,17,48,1,0.2615,0.9444,0.4096,0.2576,1.0000
Emplacamento (s),45,42,3,0,0.9333,1.0000,0.9655,0.9333,0.9333
Telefone (s),11,11,0,41,1.0000,0.2115,0.3492,0.2115,1.0000
Email (s) e contas (ex: instagram),1,1,0,4,1.0000,0.2000,0.3333,0.2000,1.0000
N° da VTR,5,5,0,0,1.0000,1.0000,1.0000,1.0000,1.0000
Vulgo(s)/Apelido(s),1,0,1,2,0.0000,0.0000,0.0000,0.0000,1.0000
